timestamp,username,action,filename
2025-06-24T07:24:33.243Z,employee,Viewed,1750522378289-sample.txt.enc
2025-06-24T07:25:21.155Z,employee,Viewed,1750616827064-Nikhil.txt.enc
2025-06-24T07:25:23.056Z,employee,Downloaded,1750616827064-Nikhil.txt.enc
2025-06-24T12:55:31.987854,nikhi,Modified,1750743326770-confidential.txt.enc
2025-06-24T15:01:34.717474,nikhi,Modified,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:34.722Z,employee,Viewed,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:35.865Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:39.517Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:44.090Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:47.226Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:50.673Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:54.269Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T09:31:57.378Z,employee,Downloaded,1750434891923-Nikhil.txt.enc
2025-06-24T15:19:31.165686,nikhi,Modified,1750434968160-d.txt.enc
2025-06-24T09:49:31.167Z,employee,Viewed,1750434968160-d.txt.enc
2025-06-24T09:49:32.200Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:34.614Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:37.125Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:39.302Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:41.348Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:43.775Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:46.140Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:48.342Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:50.506Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:52.779Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:55.202Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:49:57.794Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T09:50:00.235Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T15:48:37.173060,nikhi,Modified,1750526612953-N.txt.enc
2025-06-24T10:18:37.178Z,employee,Viewed,1750526612953-N.txt.enc
2025-06-24T10:18:38.416Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:41.030Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:43.959Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:47.012Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:49.804Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:52.733Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:55.712Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:18:58.412Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:19:02.742Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:19:08.639Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:19:11.660Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:21:19.835Z,employee,Viewed,1750434968160-d.txt.enc
2025-06-24T10:21:30.244Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:32.570Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:35.600Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:38.048Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:40.508Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:43.044Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:45.492Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:48.241Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:50.872Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:53.354Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:55.846Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:21:58.165Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:22:00.876Z,employee,Downloaded,1750434968160-d.txt.enc
2025-06-24T10:34:16.980Z,employee,Viewed,1750526612953-N.txt.enc
2025-06-24T10:34:18.497Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:20.945Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:23.712Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:26.649Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:29.323Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:31.587Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:33.939Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:36.430Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:39.055Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:41.663Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:44.232Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:46.560Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:49.089Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:51.402Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:53.767Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:56.005Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:34:58.257Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T10:35:00.519Z,employee,Downloaded,1750526612953-N.txt.enc
2025-06-24T17:38:57.211591,nikhi,Modified,1750616827064-Nikhil.txt.enc
2025-06-24T12:17:32.813Z,employee,Viewed,1750522378289-sample.txt.enc
2025-06-24T12:51:15.395Z,employee,Viewed,1750769446064-sample.txt.enc
2025-06-24T12:52:21.251Z,employee,Viewed,1750769446064-sample.txt.enc
