timestamp,username,issue
2025-06-24 07:24:33.243000+00:00,employee,Access at off-hour: 7h
2025-06-24 07:25:21.155000+00:00,employee,Access at off-hour: 7h
2025-06-24 07:25:23.056000+00:00,employee,Access at off-hour: 7h
2025-06-24 07:24:33.243000+00:00,employee, Access at off-hour: 7h
2025-06-24 07:25:21.155000+00:00,employee, Access at off-hour: 7h
2025-06-24 07:25:23.056000+00:00,employee, Access at off-hour: 7h
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
2025-06-24 09:49:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:21:00+00:00,employee,⬇️ 12 downloads in 1 minute
2025-06-24 10:34:00+00:00,employee,⬇️ 17 downloads in 1 minute
